I (4691) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 367 1.541259 32492
I (4701) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 368 1.510061 31901
I (4711) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 369 1.510061 31901
I (4731) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 370 1.460470 30962
I (4741) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 371 1.460470 30962
I (4751) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 372 1.394315 29710
I (4761) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 373 1.394315 29710
I (4771) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 374 1.311131 28135
I (4781) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 375 1.311131 28135
I (4791) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 376 1.211540 26250
I (4811) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 377 1.211540 26250
I (4821) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 378 1.094485 24035
I (4831) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 379 1.094485 24035
I (4841) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 380 0.965637 21596
I (4851) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 381 0.965637 21596
I (4861) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 382 0.821733 18872
I (4881) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 383 0.821733 18872
I (4891) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 384 0.666622 15935
I (4901) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 385 0.666622 15935
I (4911) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 386 0.501001 12800
I (4921) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 387 0.501001 12800
I (4931) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 388 0.327303 9512
I (4941) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 389 0.327303 9512
I (4961) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 390 0.149438 6146
I (4971) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 391 0.149438 6146
I (4981) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 392 -0.034404 2666
I (4991) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 393 -0.034404 2666
I (5001) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 394 -0.219191 -832
I (5011) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 395 -0.219191 -832
I (5031) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 396 -0.405663 -4362
I (5041) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 397 -0.405663 -4362
I (5051) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 398 -0.587709 -7808
I (5061) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 399 -0.587709 -7808
I (5071) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 400 -0.765997 -11183
I (5081) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 401 -0.765997 -11183
I (5091) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 402 -0.935798 -14397
I (5111) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 403 -0.935798 -14397
I (5121) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 404 -1.098531 -17478
I (5131) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 405 -1.098531 -17478
I (5141) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 406 -1.252022 -20383
I (5151) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 407 -1.252022 -20383
I (5171) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 408 -1.389870 -22992
I (5181) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 409 -1.389870 -22992
I (5191) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 410 -1.515146 -25364
